distribution;sample_credible_set
Height (LogNormal), Ratios (TreeDirichletDist);0.38
Height (LogNormal), Ratios (TreeDirichletDist);0.13970000000000005
Height (LogNormal), Ratios (TreeDirichletDist);0.7552
Height (LogNormal), Ratios (TreeDirichletDist);0.1977
Height (LogNormal), Ratios (TreeDirichletDist);0.274
Height (LogNormal), Ratios (TreeDirichletDist);0.813
Height (LogNormal), Ratios (TreeDirichletDist);0.16169999999999995
Height (LogNormal), Ratios (TreeDirichletDist);0.6586000000000001
Height (LogNormal), Ratios (TreeDirichletDist);0.37760000000000005
Height (LogNormal), Ratios (TreeDirichletDist);0.718
Height (LogNormal), Ratios (TreeDirichletDist);1.0
Height (LogNormal), Ratios (TreeDirichletDist);0.27449999999999997
Height (LogNormal), Ratios (TreeDirichletDist);0.4305
Height (LogNormal), Ratios (TreeDirichletDist);0.4043
Height (LogNormal), Ratios (TreeDirichletDist);0.13970000000000005
Height (LogNormal), Ratios (TreeDirichletDist);0.23140000000000005
Height (LogNormal), Ratios (TreeDirichletDist);0.8107
Height (LogNormal), Ratios (TreeDirichletDist);0.34750000000000003
Height (LogNormal), Ratios (TreeDirichletDist);0.8388
Height (LogNormal), Ratios (TreeDirichletDist);1.0
Height (LogNormal), Ratios (TreeDirichletDist);0.544
Height (LogNormal), Ratios (TreeDirichletDist);0.15369999999999995
Height (LogNormal), Ratios (TreeDirichletDist);0.17500000000000004
Height (LogNormal), Ratios (TreeDirichletDist);1.0
Height (LogNormal), Ratios (TreeDirichletDist);0.36050000000000004
Height (LogNormal), Ratios (TreeDirichletDist);0.5998
Height (LogNormal), Ratios (TreeDirichletDist);0.3601
Height (LogNormal), Ratios (TreeDirichletDist);0.41559999999999997
Height (LogNormal), Ratios (TreeDirichletDist);0.12780000000000002
Height (LogNormal), Ratios (TreeDirichletDist);0.25049999999999994
Height (LogNormal), Ratios (TreeDirichletDist);0.14459999999999995
Height (LogNormal), Ratios (TreeDirichletDist);0.20789999999999997
Height (LogNormal), Ratios (TreeDirichletDist);0.16159999999999997
Height (LogNormal), Ratios (TreeDirichletDist);0.8314
Height (LogNormal), Ratios (TreeDirichletDist);0.08560000000000001
Height (LogNormal), Ratios (TreeDirichletDist);1.0
Height (LogNormal), Ratios (TreeDirichletDist);1.0
Height (LogNormal), Ratios (TreeDirichletDist);0.12450000000000006
Height (LogNormal), Ratios (TreeDirichletDist);0.9386
Height (LogNormal), Ratios (TreeDirichletDist);1.0
Height (LogNormal), Ratios (TreeDirichletDist);0.3369
Height (LogNormal), Ratios (TreeDirichletDist);0.03090000000000004
Height (LogNormal), Ratios (TreeDirichletDist);0.08560000000000001
Height (LogNormal), Ratios (TreeDirichletDist);0.5594
Height (LogNormal), Ratios (TreeDirichletDist);0.6957
Height (LogNormal), Ratios (TreeDirichletDist);0.6495
Height (LogNormal), Ratios (TreeDirichletDist);0.48839999999999995
Height (LogNormal), Ratios (TreeDirichletDist);0.6014999999999999
Height (LogNormal), Ratios (TreeDirichletDist);0.5983
Height (LogNormal), Ratios (TreeDirichletDist);1.0
Height (LogNormal), Ratios (TreeDirichletDist);1.0
Height (LogNormal), Ratios (TreeDirichletDist);1.0
Height (LogNormal), Ratios (TreeDirichletDist);0.848
Height (LogNormal), Ratios (TreeDirichletDist);0.6062000000000001
Height (LogNormal), Ratios (TreeDirichletDist);0.17090000000000005
Height (LogNormal), Ratios (TreeDirichletDist);0.2591
Height (LogNormal), Ratios (TreeDirichletDist);0.5279
Height (LogNormal), Ratios (TreeDirichletDist);1.0
Height (LogNormal), Ratios (TreeDirichletDist);0.8813
Height (LogNormal), Ratios (TreeDirichletDist);0.19810000000000005
Height (LogNormal), Ratios (TreeDirichletDist);0.14959999999999996
Height (LogNormal), Ratios (TreeDirichletDist);0.9403
Height (LogNormal), Ratios (TreeDirichletDist);0.36660000000000004
Height (LogNormal), Ratios (TreeDirichletDist);0.11870000000000003
Height (LogNormal), Ratios (TreeDirichletDist);0.9983
Height (LogNormal), Ratios (TreeDirichletDist);0.649
Height (LogNormal), Ratios (TreeDirichletDist);0.9998
Height (LogNormal), Ratios (TreeDirichletDist);0.5577
Height (LogNormal), Ratios (TreeDirichletDist);0.08420000000000005
Height (LogNormal), Ratios (TreeDirichletDist);0.14590000000000003
