distribution;sample_credible_set
Height (LogNormal), Ratios (LogitNormal);0.3268
Height (LogNormal), Ratios (LogitNormal);0.9123
Height (LogNormal), Ratios (LogitNormal);0.20909999999999995
Height (LogNormal), Ratios (LogitNormal);0.038000000000000034
Height (LogNormal), Ratios (LogitNormal);0.23040000000000005
Height (LogNormal), Ratios (LogitNormal);0.8432999999999999
Height (LogNormal), Ratios (LogitNormal);0.5015000000000001
Height (LogNormal), Ratios (LogitNormal);0.33230000000000004
Height (LogNormal), Ratios (LogitNormal);0.14470000000000005
Height (LogNormal), Ratios (LogitNormal);0.024700000000000055
Height (LogNormal), Ratios (LogitNormal);0.14649999999999996
Height (LogNormal), Ratios (LogitNormal);0.1321
Height (LogNormal), Ratios (LogitNormal);0.5013000000000001
Height (LogNormal), Ratios (LogitNormal);0.9355
Height (LogNormal), Ratios (LogitNormal);0.4061
Height (LogNormal), Ratios (LogitNormal);0.616
Height (LogNormal), Ratios (LogitNormal);0.4586
Height (LogNormal), Ratios (LogitNormal);0.9741
Height (LogNormal), Ratios (LogitNormal);0.1422
Height (LogNormal), Ratios (LogitNormal);0.7814
Height (LogNormal), Ratios (LogitNormal);0.13939999999999997
Height (LogNormal), Ratios (LogitNormal);0.7181
Height (LogNormal), Ratios (LogitNormal);0.026900000000000035
Height (LogNormal), Ratios (LogitNormal);0.6947
Height (LogNormal), Ratios (LogitNormal);0.3791
Height (LogNormal), Ratios (LogitNormal);0.47350000000000003
Height (LogNormal), Ratios (LogitNormal);0.33840000000000003
Height (LogNormal), Ratios (LogitNormal);0.9145
Height (LogNormal), Ratios (LogitNormal);0.6126
Height (LogNormal), Ratios (LogitNormal);0.5808
Height (LogNormal), Ratios (LogitNormal);0.8999
Height (LogNormal), Ratios (LogitNormal);0.6202
Height (LogNormal), Ratios (LogitNormal);0.025499999999999967
Height (LogNormal), Ratios (LogitNormal);0.5009
Height (LogNormal), Ratios (LogitNormal);0.16679999999999995
Height (LogNormal), Ratios (LogitNormal);0.7636000000000001
Height (LogNormal), Ratios (LogitNormal);0.5979
Height (LogNormal), Ratios (LogitNormal);0.9207
Height (LogNormal), Ratios (LogitNormal);0.761
Height (LogNormal), Ratios (LogitNormal);0.32889999999999997
Height (LogNormal), Ratios (LogitNormal);0.6212
Height (LogNormal), Ratios (LogitNormal);0.8135
Height (LogNormal), Ratios (LogitNormal);0.008099999999999996
Height (LogNormal), Ratios (LogitNormal);0.37660000000000005
Height (LogNormal), Ratios (LogitNormal);0.7107
Height (LogNormal), Ratios (LogitNormal);0.6609
Height (LogNormal), Ratios (LogitNormal);0.6302
Height (LogNormal), Ratios (LogitNormal);0.09689999999999999
Height (LogNormal), Ratios (LogitNormal);0.45820000000000005
Height (LogNormal), Ratios (LogitNormal);0.8768
Height (LogNormal), Ratios (LogitNormal);0.1159
Height (LogNormal), Ratios (LogitNormal);0.2026
Height (LogNormal), Ratios (LogitNormal);0.9488
Height (LogNormal), Ratios (LogitNormal);0.06520000000000004
Height (LogNormal), Ratios (LogitNormal);0.351
Height (LogNormal), Ratios (LogitNormal);0.3911
Height (LogNormal), Ratios (LogitNormal);0.05800000000000005
Height (LogNormal), Ratios (LogitNormal);0.37360000000000004
Height (LogNormal), Ratios (LogitNormal);0.21030000000000004
Height (LogNormal), Ratios (LogitNormal);0.8202
Height (LogNormal), Ratios (LogitNormal);0.10599999999999998
Height (LogNormal), Ratios (LogitNormal);0.06279999999999997
Height (LogNormal), Ratios (LogitNormal);0.17859999999999998
Height (LogNormal), Ratios (LogitNormal);0.13149999999999995
Height (LogNormal), Ratios (LogitNormal);0.8134
Height (LogNormal), Ratios (LogitNormal);0.7916
Height (LogNormal), Ratios (LogitNormal);0.7209
Height (LogNormal), Ratios (LogitNormal);0.06479999999999997
Height (LogNormal), Ratios (LogitNormal);0.6976
Height (LogNormal), Ratios (LogitNormal);0.06879999999999997
Height (LogNormal), Ratios (LogitNormal);0.5720000000000001
Height (LogNormal), Ratios (LogitNormal);0.4848
Height (LogNormal), Ratios (LogitNormal);0.3268
Height (LogNormal), Ratios (LogitNormal);0.11329999999999996
Height (LogNormal), Ratios (LogitNormal);0.6836
Height (LogNormal), Ratios (LogitNormal);0.7752
Height (LogNormal), Ratios (LogitNormal);0.4222
Height (LogNormal), Ratios (LogitNormal);0.42100000000000004
Height (LogNormal), Ratios (LogitNormal);0.41200000000000003
Height (LogNormal), Ratios (LogitNormal);0.46630000000000005
Height (LogNormal), Ratios (LogitNormal);0.251
Height (LogNormal), Ratios (LogitNormal);0.4547
Height (LogNormal), Ratios (LogitNormal);0.011499999999999955
Height (LogNormal), Ratios (LogitNormal);0.26580000000000004
Height (LogNormal), Ratios (LogitNormal);0.9458
Height (LogNormal), Ratios (LogitNormal);0.4817
Height (LogNormal), Ratios (LogitNormal);0.843
Height (LogNormal), Ratios (LogitNormal);0.4393
Height (LogNormal), Ratios (LogitNormal);0.22209999999999996
Height (LogNormal), Ratios (LogitNormal);0.18330000000000002
Height (LogNormal), Ratios (LogitNormal);0.5016
Height (LogNormal), Ratios (LogitNormal);0.10770000000000002
Height (LogNormal), Ratios (LogitNormal);0.2388
Height (LogNormal), Ratios (LogitNormal);0.05779999999999996
Height (LogNormal), Ratios (LogitNormal);0.6026
Height (LogNormal), Ratios (LogitNormal);0.6486000000000001
Height (LogNormal), Ratios (LogitNormal);0.28490000000000004
Height (LogNormal), Ratios (LogitNormal);0.8374
Height (LogNormal), Ratios (LogitNormal);0.2902
Height (LogNormal), Ratios (LogitNormal);0.9801
Height (LogNormal), Ratios (LogitNormal);0.6209
Height (LogNormal), Ratios (LogitNormal);0.4071
Height (LogNormal), Ratios (LogitNormal);0.3045
Height (LogNormal), Ratios (LogitNormal);0.6328
Height (LogNormal), Ratios (LogitNormal);0.5264
Height (LogNormal), Ratios (LogitNormal);0.9517
Height (LogNormal), Ratios (LogitNormal);0.9383
Height (LogNormal), Ratios (LogitNormal);0.2559
Height (LogNormal), Ratios (LogitNormal);0.6665
Height (LogNormal), Ratios (LogitNormal);0.18120000000000003
Height (LogNormal), Ratios (LogitNormal);0.273
Height (LogNormal), Ratios (LogitNormal);0.6917
Height (LogNormal), Ratios (LogitNormal);0.3982
Height (LogNormal), Ratios (LogitNormal);0.4276
Height (LogNormal), Ratios (LogitNormal);0.24550000000000005
Height (LogNormal), Ratios (LogitNormal);0.5624
Height (LogNormal), Ratios (LogitNormal);0.28759999999999997
Height (LogNormal), Ratios (LogitNormal);0.7332000000000001
Height (LogNormal), Ratios (LogitNormal);0.5738
Height (LogNormal), Ratios (LogitNormal);0.5920000000000001
Height (LogNormal), Ratios (LogitNormal);0.998
Height (LogNormal), Ratios (LogitNormal);0.3378
Height (LogNormal), Ratios (LogitNormal);0.04190000000000005
Height (LogNormal), Ratios (LogitNormal);0.9253
Height (LogNormal), Ratios (LogitNormal);0.23770000000000002
Height (LogNormal), Ratios (LogitNormal);0.7374
Height (LogNormal), Ratios (LogitNormal);0.8825000000000001
Height (LogNormal), Ratios (LogitNormal);0.3134
Height (LogNormal), Ratios (LogitNormal);0.2602
Height (LogNormal), Ratios (LogitNormal);0.6474
Height (LogNormal), Ratios (LogitNormal);0.024700000000000055
Height (LogNormal), Ratios (LogitNormal);0.34750000000000003
Height (LogNormal), Ratios (LogitNormal);0.5045
