distribution;sample_credible_set
Height (LogNormal), Ratios (LogitNormal);0.4667
Height (LogNormal), Ratios (LogitNormal);0.6441
Height (LogNormal), Ratios (LogitNormal);0.1099
Height (LogNormal), Ratios (LogitNormal);0.4264
Height (LogNormal), Ratios (LogitNormal);0.9333
Height (LogNormal), Ratios (LogitNormal);0.9135
Height (LogNormal), Ratios (LogitNormal);0.8607
Height (LogNormal), Ratios (LogitNormal);0.871
Height (LogNormal), Ratios (LogitNormal);0.6412
Height (LogNormal), Ratios (LogitNormal);0.7608
Height (LogNormal), Ratios (LogitNormal);0.978
Height (LogNormal), Ratios (LogitNormal);0.5494
Height (LogNormal), Ratios (LogitNormal);0.15300000000000002
Height (LogNormal), Ratios (LogitNormal);0.9075
Height (LogNormal), Ratios (LogitNormal);0.7361
Height (LogNormal), Ratios (LogitNormal);0.7669
Height (LogNormal), Ratios (LogitNormal);0.17979999999999996
Height (LogNormal), Ratios (LogitNormal);0.020100000000000007
Height (LogNormal), Ratios (LogitNormal);0.7251000000000001
Height (LogNormal), Ratios (LogitNormal);0.9738
Height (LogNormal), Ratios (LogitNormal);0.04930000000000001
Height (LogNormal), Ratios (LogitNormal);0.8817
Height (LogNormal), Ratios (LogitNormal);0.5745
Height (LogNormal), Ratios (LogitNormal);0.48160000000000003
Height (LogNormal), Ratios (LogitNormal);0.4921
Height (LogNormal), Ratios (LogitNormal);0.6820999999999999
Height (LogNormal), Ratios (LogitNormal);0.01629999999999998
Height (LogNormal), Ratios (LogitNormal);0.31610000000000005
Height (LogNormal), Ratios (LogitNormal);0.24219999999999997
Height (LogNormal), Ratios (LogitNormal);0.5636
Height (LogNormal), Ratios (LogitNormal);0.4357
Height (LogNormal), Ratios (LogitNormal);1.0
Height (LogNormal), Ratios (LogitNormal);0.13249999999999995
Height (LogNormal), Ratios (LogitNormal);0.44120000000000004
Height (LogNormal), Ratios (LogitNormal);0.7727999999999999
Height (LogNormal), Ratios (LogitNormal);0.9429
Height (LogNormal), Ratios (LogitNormal);0.1199
Height (LogNormal), Ratios (LogitNormal);0.12560000000000004
Height (LogNormal), Ratios (LogitNormal);0.13119999999999998
Height (LogNormal), Ratios (LogitNormal);0.9341
Height (LogNormal), Ratios (LogitNormal);0.06679999999999997
Height (LogNormal), Ratios (LogitNormal);0.16369999999999996
Height (LogNormal), Ratios (LogitNormal);0.044499999999999984
Height (LogNormal), Ratios (LogitNormal);0.8756
Height (LogNormal), Ratios (LogitNormal);0.848
Height (LogNormal), Ratios (LogitNormal);0.31679999999999997
Height (LogNormal), Ratios (LogitNormal);0.7424
Height (LogNormal), Ratios (LogitNormal);0.9569
Height (LogNormal), Ratios (LogitNormal);0.8994
Height (LogNormal), Ratios (LogitNormal);0.5322
Height (LogNormal), Ratios (LogitNormal);0.9543
Height (LogNormal), Ratios (LogitNormal);0.21209999999999996
Height (LogNormal), Ratios (LogitNormal);0.29369999999999996
Height (LogNormal), Ratios (LogitNormal);0.34740000000000004
Height (LogNormal), Ratios (LogitNormal);0.37749999999999995
Height (LogNormal), Ratios (LogitNormal);0.6916
Height (LogNormal), Ratios (LogitNormal);0.2753
Height (LogNormal), Ratios (LogitNormal);0.1664
Height (LogNormal), Ratios (LogitNormal);0.4497
Height (LogNormal), Ratios (LogitNormal);0.5118
Height (LogNormal), Ratios (LogitNormal);0.6668000000000001
Height (LogNormal), Ratios (LogitNormal);0.22970000000000002
Height (LogNormal), Ratios (LogitNormal);0.40959999999999996
Height (LogNormal), Ratios (LogitNormal);0.15000000000000002
Height (LogNormal), Ratios (LogitNormal);0.5459
Height (LogNormal), Ratios (LogitNormal);0.9893
Height (LogNormal), Ratios (LogitNormal);0.11370000000000002
Height (LogNormal), Ratios (LogitNormal);0.9347
Height (LogNormal), Ratios (LogitNormal);0.9152
Height (LogNormal), Ratios (LogitNormal);0.6916
Height (LogNormal), Ratios (LogitNormal);0.9751
Height (LogNormal), Ratios (LogitNormal);0.36150000000000004
Height (LogNormal), Ratios (LogitNormal);0.9007000000000001
Height (LogNormal), Ratios (LogitNormal);0.22340000000000004
Height (LogNormal), Ratios (LogitNormal);0.9132
Height (LogNormal), Ratios (LogitNormal);0.6820999999999999
Height (LogNormal), Ratios (LogitNormal);0.9921
Height (LogNormal), Ratios (LogitNormal);0.21109999999999995
Height (LogNormal), Ratios (LogitNormal);0.8887
Height (LogNormal), Ratios (LogitNormal);0.943
Height (LogNormal), Ratios (LogitNormal);0.2528
Height (LogNormal), Ratios (LogitNormal);0.829
